country,_order_value_eur_,_cost_,date,category,customer_name,sales_manager,sales_rep,device_type,order_id
portugal,"60,744.83",52805.48,2020-03-19,smartphones,Gislason-Stanton,Celine Tumasian,Brynn Dempster,pc,69-4462108
sweden,"39,313.39",34273.41,2020-10-10,beauty,Corwin and Sons,Maxie Marrow,Anita Woakes,mobile,68-3731565
france,"119,820.82",98289.02,2019-06-16,appliances,Considine-Fisher,Othello Bowes,Amelina Piscopiello,pc,82-2972108
uk,"129,485.51",112794.83,2019-01-05,appliances,McGlynn-Prosacco,Jessamine Apark,Jay Morefield,pc,15-2503493
italy,"163,203.64",140893.7,2019-06-21,smartphones,"Swaniawski, Runolfsson and Green",Piggy Roscrigg,Joshua Prevost,pc,37-0857161
france,"62,788.04",53049.61,2020-02-13,appliances,Altenwerth-Konopelski,Othello Bowes,Avrit Chanders,pc,71-2709641
portugal,"148,037.71",117867.62,2020-04-14,electronics,Romaguera-Dietrich,Celine Tumasian,Corene Shirer,pc,10-5899580
ireland,"55,539.67",45620.29,2020-03-21,electronics,Altenwerth-Konopelski,Glenine Suttaby,Palm Wetherald,pc,10-9241948
france,"150,135.00",131067.85,2020-09-09,smartphones,Larkin-Collier,Othello Bowes,Avrit Chanders,pc,68-0080728
ireland,"85,294.30",72662.21,2020-03-25,beauty,"Zieme, Bailey and Herzog",Glenine Suttaby,Bunnie Tonbridge,pc,47-0640313
luxembourg,"136,079.62",119178.53,2019-08-29,games,West-Cummings,Ilsa Kob,Jocelyn Laurentino,pc,37-6597365
finland,"186,397.60",161233.92,2020-12-04,appliances,Friesen and Sons,Hube Corey,Mellicent Mattys,mobile,13-0833129
germany,"32,695.37",26375.35,2020-11-28,accessories,Johns and Sons,Rickard Doogood,Casie MacBain,mobile,15-2994585
france,"86,077.83",72288.16,2019-11-03,appliances,Johns and Sons,Othello Bowes,Amelina Piscopiello,pc,85-7784608
sweden,"72,885.55",59773.44,2020-12-29,clothing,Johns and Sons,Maxie Marrow,Anita Woakes,pc,22-3969127
portugal,"100,469.75",82566.04,2019-05-17,electronics,Johns and Sons,Celine Tumasian,Aurelie Wren,pc,80-2242820
sweden,"40,831.52",34192.31,2019-04-26,appliances,Labadie and Sons,Maxie Marrow,Madelon Bront,pc,35-1705563
italy,"142,353.07",116046.22,2019-07-24,books,Dibbert Inc,Piggy Roscrigg,Joshua Prevost,pc,93-9941140
sweden,"250,315.06",218825.43,2019-07-08,beauty,McGlynn-Prosacco,Maxie Marrow,Alyosha Meah,pc,36-2366573
uk,"100,094.97",84690.35,2020-11-08,games,"Swaniawski, Runolfsson and Green",Jessamine Apark,Genevra Charrisson,pc,10-9932801
uk,"77,128.75",65536.3,2020-08-09,books,"Dickinson, Hyatt and Berge",Jessamine Apark,Jay Morefield,mobile,70-8991739
france,"176,114.73",149257.23,2020-11-24,electronics,Johns and Sons,Othello Bowes,Maighdiln Upcraft,pc,97-4830372
france,"146,325.53",118333.46,2020-08-09,games,Stehr-Bogan,Othello Bowes,Crysta Halls,pc,95-8015610
germany,"161,823.46",130494.44,2020-07-20,clothing,Friesen-Rath,Rickard Doogood,Casie MacBain,pc,84-1062113
sweden,"132,632.97",112035.07,2019-04-23,electronics,"Keeling, Monahan and Pollich",Maxie Marrow,Anita Woakes,pc,05-5082715
portugal,"107,232.99",85207.33,2020-03-08,appliances,Hessel-Stiedemann,Celine Tumasian,Smitty Culverhouse,pc,35-6942653
sweden,"120,763.23",96719.27,2020-04-14,clothing,"Murray, Reichel and Nolan",Maxie Marrow,Anita Woakes,pc,79-6623911
bulgaria,"278,731.90",221591.86,2019-12-05,appliances,West-Cummings,Charil Alpe,Bernadine Fullagar,pc,48-7662634
bulgaria,"138,153.70",112926.83,2019-02-14,games,McGlynn-Bergstrom,Charil Alpe,Bernadine Fullagar,pc,46-5888587
ireland,"68,802.13",54635.77,2020-09-15,beauty,Kirlin and Sons,Glenine Suttaby,Bunnie Tonbridge,pc,17-3178991
finland,"35,619.28",28192.66,2019-01-08,electronics,"Murray, Reichel and Nolan",Hube Corey,Wat Bowkley,pc,18-8528486
uk,"65,014.84",53669.75,2020-03-27,outdoors,"Dickinson, Hyatt and Berge",Jessamine Apark,Genevra Charrisson,mobile,55-4588115
germany,"48,922.42",39387.44,2020-10-19,outdoors,"Murray, Reichel and Nolan",Rickard Doogood,Casie MacBain,tablet,19-9073616
france,"165,262.34",142621.4,2020-05-19,electronics,Altenwerth-Konopelski,Othello Bowes,Amelina Piscopiello,mobile,96-0020600
portugal,"164,117.24",133509.37,2020-05-28,electronics,"Zieme, Bailey and Herzog",Celine Tumasian,Corene Shirer,pc,88-7664123
portugal,"238,085.99",193587.72,2020-07-16,clothing,"Rowe, Hermiston and Kessler",Celine Tumasian,Hortense Gerring,pc,17-8884817
sweden,"117,733.51",97294.97,2019-07-13,electronics,Connelly-Mohr,Maxie Marrow,Tarrah Castelletti,pc,45-5509135
france,"26,713.46",22043.95,2020-10-12,beauty,Wisoky Inc,Othello Bowes,Ora Grennan,pc,81-4176165
france,"49,664.17",39244.63,2019-10-30,books,"Swaniawski, Runolfsson and Green",Othello Bowes,Amelina Piscopiello,pc,24-9702599
sweden,"162,101.93",133912.4,2019-12-19,smartphones,"Rowe, Hermiston and Kessler",Maxie Marrow,Tarrah Castelletti,pc,24-4272786
france,"118,027.37",96050.67,2019-04-06,beauty,Johns and Sons,Othello Bowes,Ora Grennan,pc,77-3656041
sweden,"147,994.63",129643.3,2019-01-27,games,Stamm Inc,Maxie Marrow,Alyosha Meah,pc,47-7207206
finland,"48,946.74",38765.82,2019-04-19,accessories,"Swaniawski, Runolfsson and Green",Hube Corey,Mellicent Mattys,pc,65-2022928
sweden,"73,860.57",60336.7,2020-11-13,clothing,McGlynn-Prosacco,Maxie Marrow,Madelon Bront,pc,16-5837761
portugal,"86,083.27",72309.95,2019-11-30,electronics,Connelly-Mohr,Celine Tumasian,Hortense Gerring,pc,80-7090422
finland,"72,385.53",60181.33,2019-09-10,clothing,Johns and Sons,Hube Corey,Wat Bowkley,pc,66-8222460
portugal,"120,332.26",102282.42,2020-01-14,clothing,"Parisian, Steuber and Satterfield",Celine Tumasian,Hortense Gerring,tablet,44-0527427
sweden,"81,262.34",65326.8,2019-09-06,books,Johns and Sons,Maxie Marrow,Anita Woakes,mobile,75-9517276
austria,"139,075.59",113708.2,2020-12-16,games,"Murray, Reichel and Nolan",Orsa Geekin,Bank Coumbe,pc,24-2403756
france,"50,516.20",43918.78,2019-03-22,electronics,Wiza and Sons,Othello Bowes,Maighdiln Upcraft,pc,50-1986322
sweden,"112,228.82",97470.73,2019-09-15,outdoors,Gislason-Stanton,Maxie Marrow,Madelon Bront,pc,75-9585763
france,"79,833.60",63411.83,2019-06-15,appliances,McGlynn-Bergstrom,Othello Bowes,Avrit Chanders,pc,86-6760202
finland,"135,629.36",118526.5,2020-08-12,games,Tillman and Sons,Hube Corey,Mellicent Mattys,pc,66-7717800
luxembourg,"175,332.04",144999.6,2020-09-24,accessories,Hegmann Group,Ilsa Kob,Jocelyn Laurentino,pc,89-8942175
portugal,"101,923.36",86115.05,2019-01-19,beauty,"Shanahan, Schaden and Parker",Celine Tumasian,Brynn Dempster,mobile,38-0584273
germany,"190,100.96",160749.37,2019-12-20,electronics,Walter LLC,Rickard Doogood,Casie MacBain,pc,38-8840357
netherlands,"152,771.90",134423.99,2020-05-02,clothing,McClure Inc,Denice Amberg,Nero Harbisher,pc,82-4495901
france,"52,805.94",43791.97,2020-06-22,smartphones,Kihn Inc,Othello Bowes,Amelina Piscopiello,pc,81-2373308
portugal,"51,416.24",43338.75,2020-04-15,smartphones,"Spencer, Rogahn and Muller",Celine Tumasian,Aurelie Wren,pc,15-0224516
luxembourg,"76,426.54",66116.6,2019-03-16,clothing,O'Connell-Mitchell,Ilsa Kob,Jocelyn Laurentino,pc,95-6935153
france,"118,021.59",98229.37,2019-04-21,beauty,"Lubowitz, McLaughlin and Erdman",Othello Bowes,Maighdiln Upcraft,pc,60-8661261
portugal,"59,378.97",52176.3,2020-04-25,appliances,Schoen-Keeling,Celine Tumasian,Corene Shirer,pc,56-2783503
spain,"61,325.25",49379.09,2020-07-29,beauty,Hessel-Stiedemann,Emalia Dinse,Manuel Goudie,tablet,95-1516475
france,"80,431.34",69774.19,2019-07-22,beauty,Hessel-Stiedemann,Othello Bowes,Crysta Halls,pc,32-5562588
portugal,"177,919.14",147370.42,2020-06-07,beauty,Walter LLC,Celine Tumasian,Aurelie Wren,pc,70-7769332
ireland,"37,520.09",32781.3,2020-05-27,clothing,Kihn Inc,Glenine Suttaby,Bunnie Tonbridge,mobile,07-6200800
spain,"68,745.86",58014.63,2019-04-09,electronics,Labadie and Sons,Emalia Dinse,Manuel Goudie,pc,11-2988171
denmark,"69,017.42",55897.21,2020-04-02,electronics,Hegmann Group,Modestia Byfford,Case Desorts,pc,38-3894304
france,"48,850.38",39788.63,2019-03-31,appliances,"Spencer, Rogahn and Muller",Othello Bowes,Crysta Halls,pc,33-6126082
netherlands,"253,291.55",219502.46,2020-06-12,books,Altenwerth-Konopelski,Denice Amberg,Nero Harbisher,pc,25-4970452
portugal,"47,186.74",38112.73,2019-07-28,electronics,"Hartmann, Hane and Pfannerstill",Celine Tumasian,Aurelie Wren,pc,34-8903845
portugal,"59,670.68",51269.05,2019-09-10,appliances,"Shanahan, Schaden and Parker",Celine Tumasian,Aurelie Wren,pc,32-2110689
portugal,"228,961.30",183764.34,2020-06-01,appliances,Johns and Sons,Celine Tumasian,Hortense Gerring,pc,37-8204282
france,"165,259.58",130703.8,2020-06-26,outdoors,Armstrong-Little,Othello Bowes,Crysta Halls,pc,46-1318487
france,"219,911.81",179426.05,2019-07-05,clothing,Smith Group,Othello Bowes,Crysta Halls,pc,99-3971751
finland,"55,882.12",48561.56,2020-05-20,clothing,"Murray, Reichel and Nolan",Hube Corey,Mellicent Mattys,pc,24-7985425
france,"16,388.90",13430.7,2020-03-15,electronics,West-Cummings,Othello Bowes,Crysta Halls,pc,30-9690927
spain,"85,927.37",74490.44,2019-04-15,clothing,"Hartmann, Hane and Pfannerstill",Emalia Dinse,Perri Aldersley,pc,37-5025811
france,"161,212.39",138046.17,2020-07-04,accessories,Hilll-Vandervort,Othello Bowes,Crysta Halls,pc,21-6670877
france,"66,678.38",53009.31,2019-03-04,smartphones,Walter LLC,Othello Bowes,Amelina Piscopiello,pc,34-3119010
sweden,"148,243.05",120566.07,2020-12-07,beauty,Johns and Sons,Maxie Marrow,Madelon Bront,pc,54-7503816
ireland,"126,523.36",106368.19,2020-05-14,games,Gleichner-Green,Glenine Suttaby,Bunnie Tonbridge,pc,96-1698894
ireland,"63,373.72",55572.41,2020-03-03,clothing,"Dickinson, Hyatt and Berge",Glenine Suttaby,Bunnie Tonbridge,pc,92-0523700
ireland,"76,767.77",64500.28,2020-01-22,games,"Spencer, Rogahn and Muller",Glenine Suttaby,Bunnie Tonbridge,pc,15-3657248
portugal,"78,938.82",65471.86,2019-04-24,games,"Fisher, Morar and Skiles",Celine Tumasian,Brynn Dempster,pc,16-3423161
france,"131,864.04",110277.9,2019-04-09,appliances,"Murray, Reichel and Nolan",Othello Bowes,Ora Grennan,pc,67-2684209
portugal,"116,774.43",98954.65,2019-04-21,accessories,Labadie and Sons,Celine Tumasian,Hortense Gerring,mobile,21-7344983
france,"141,112.84",120044.69,2020-08-08,electronics,Gislason-Stanton,Othello Bowes,Avrit Chanders,mobile,47-9701762
bulgaria,"33,210.56",29109.06,2020-11-20,books,Hessel-Stiedemann,Charil Alpe,Bernadine Fullagar,pc,86-3876359
france,"174,392.33",141449.62,2020-08-03,smartphones,Labadie and Sons,Othello Bowes,Ora Grennan,pc,34-4313860
sweden,"204,484.61",177308.61,2019-06-16,games,"Hermiston, Simonis and Wisoky",Maxie Marrow,Caro Morfield,tablet,71-4782689
germany,"80,986.10",64124.79,2019-12-02,appliances,"Dickinson, Hyatt and Berge",Rickard Doogood,Casie MacBain,mobile,85-3690127
sweden,"179,179.73",154936.71,2019-10-22,books,"Zieme, Bailey and Herzog",Maxie Marrow,Anita Woakes,pc,66-5810051
netherlands,"99,731.40",84731.8,2020-01-12,electronics,Smith Group,Denice Amberg,Nero Harbisher,pc,81-9170157
france,"32,661.62",27922.42,2020-02-08,electronics,"Zieme, Bailey and Herzog",Othello Bowes,Amelina Piscopiello,pc,24-7300640
sweden,"30,166.93",24658.45,2019-11-29,appliances,Corwin and Sons,Maxie Marrow,Tarrah Castelletti,pc,97-1288901
germany,"36,747.24",31900.28,2019-01-19,accessories,Johns and Sons,Rickard Doogood,Casie MacBain,pc,81-9757849
france,"66,884.70",58544.18,2020-01-19,smartphones,Wisoky Inc,Othello Bowes,Crysta Halls,pc,44-9179070
portugal,"165,305.70",134757.21,2019-07-13,games,"Christiansen, Donnelly and Bechtelar",Celine Tumasian,Aurelie Wren,pc,55-2137809
sweden,"50,618.21",41835.95,2019-03-05,beauty,Hegmann Group,Maxie Marrow,Tarrah Castelletti,pc,56-1063618
sweden,"82,116.31",70652.87,2020-05-30,beauty,"Zieme, Bailey and Herzog",Maxie Marrow,Caro Morfield,tablet,01-8080546
sweden,"106,142.65",88151.47,2019-06-04,games,Baumbach Group,Maxie Marrow,Anita Woakes,pc,29-5632797
portugal,"149,514.00",122646.33,2020-10-18,games,"Bashirian, Okuneva and Bechtelar",Celine Tumasian,Smitty Culverhouse,mobile,20-1191256
sweden,"30,975.79",27072.84,2020-03-15,clothing,McGlynn-Bergstrom,Maxie Marrow,Tarrah Castelletti,pc,33-4022317
france,"165,118.74",137527.4,2019-11-02,clothing,Smith Group,Othello Bowes,Amelina Piscopiello,pc,59-5892824
germany,"76,652.73",64311.64,2020-08-04,accessories,"Farrell, Swaniawski and Crist",Rickard Doogood,Casie MacBain,pc,52-3394023
uk,"151,632.33",120744.82,2020-07-14,clothing,Armstrong-Little,Jessamine Apark,Winny Agnolo,pc,89-5350599
france,"35,289.75",29424.59,2019-02-26,smartphones,Armstrong-Little,Othello Bowes,Maighdiln Upcraft,pc,92-6298656
france,"77,043.84",63245.29,2020-02-08,outdoors,Armstrong-Little,Othello Bowes,Avrit Chanders,pc,91-7317758
portugal,"59,691.71",49239.69,2019-06-17,other,Walter LLC,Celine Tumasian,Hortense Gerring,pc,60-6055725
portugal,"181,882.43",149834.75,2019-07-28,books,McClure Inc,Celine Tumasian,Corene Shirer,pc,33-2816759
portugal,"50,796.04",44090.96,2019-09-21,books,"Farrell, Swaniawski and Crist",Celine Tumasian,Hortense Gerring,pc,05-2359767
netherlands,"73,981.77",61959.73,2019-11-18,clothing,"Hamill, Kulas and Roob",Denice Amberg,Nero Harbisher,pc,73-9492768
uk,"105,686.13",86694.33,2019-10-13,outdoors,Johns and Sons,Jessamine Apark,Genevra Charrisson,pc,31-6770318
sweden,"149,376.26",123653.67,2020-01-31,other,"Fisher, Morar and Skiles",Maxie Marrow,Alyosha Meah,pc,52-0695511
netherlands,"85,237.91",72384.03,2020-03-18,smartphones,Armstrong-Little,Denice Amberg,Nero Harbisher,pc,45-8314773
luxembourg,"104,743.22",83281.33,2019-03-24,electronics,Johns and Sons,Ilsa Kob,Jocelyn Laurentino,mobile,53-0205940
portugal,"290,551.74",239530.86,2020-12-14,other,Hessel-Stiedemann,Celine Tumasian,Brynn Dempster,pc,53-1660551
france,"72,314.73",57309.42,2019-08-27,appliances,Johns and Sons,Othello Bowes,Ora Grennan,pc,70-5394452
netherlands,"119,858.15",99997.65,2020-11-19,electronics,McGlynn-Prosacco,Denice Amberg,Nero Harbisher,pc,10-0386535
portugal,"119,937.47",98720.53,2019-08-13,games,"Hartmann, Hane and Pfannerstill",Celine Tumasian,Aurelie Wren,pc,56-8476539
france,"60,592.40",52363.95,2019-02-22,accessories,"Rowe, Hermiston and Kessler",Othello Bowes,Crysta Halls,pc,04-7976277
ireland,"31,966.82",26593.2,2020-08-24,appliances,Johns and Sons,Glenine Suttaby,Palm Wetherald,pc,21-2965409
portugal,"83,226.45",71699.59,2020-11-22,beauty,"Swaniawski, Runolfsson and Green",Celine Tumasian,Corene Shirer,pc,04-2788693
germany,"51,407.30",44292.53,2019-05-02,clothing,Altenwerth-Konopelski,Rickard Doogood,Casie MacBain,tablet,20-6477396
germany,"61,968.26",50690.04,2020-12-27,electronics,Romaguera-Dietrich,Rickard Doogood,Casie MacBain,pc,22-7259031
ireland,"271,465.15",217959.37,2019-07-03,electronics,Corwin and Sons,Glenine Suttaby,Bunnie Tonbridge,mobile,44-9239029
sweden,"86,854.64",72219.63,2020-02-04,books,Tillman and Sons,Maxie Marrow,Tarrah Castelletti,pc,77-4566105
ireland,"119,819.37",105441.05,2020-12-07,smartphones,Dibbert Inc,Glenine Suttaby,Palm Wetherald,pc,29-3662564
uk,"160,763.90",131102.96,2019-04-18,appliances,McGlynn-Prosacco,Jessamine Apark,Genevra Charrisson,pc,73-8057834
sweden,"44,029.07",38344.92,2019-09-09,other,McGlynn-Bergstrom,Maxie Marrow,Alyosha Meah,pc,87-9980890
france,"86,628.32",72464.59,2019-11-06,appliances,Kihn Inc,Othello Bowes,Crysta Halls,pc,98-8250897
portugal,"97,641.25",83414.92,2020-10-17,books,Morissette Group,Celine Tumasian,Brynn Dempster,pc,98-3051699
portugal,"98,746.66",80399.53,2020-02-10,appliances,Considine-Fisher,Celine Tumasian,Smitty Culverhouse,pc,75-7291972
france,"109,562.50",89917.94,2020-08-05,appliances,"Dickinson, Hyatt and Berge",Othello Bowes,Maighdiln Upcraft,pc,67-3672347
uk,"60,301.96",48820.47,2019-02-08,beauty,Wiza and Sons,Jessamine Apark,Jay Morefield,pc,75-1785229
france,"80,781.62",68971.35,2019-01-19,smartphones,McGlynn-Prosacco,Othello Bowes,Ora Grennan,mobile,53-1426071
france,"238,659.41",204507.25,2019-12-23,appliances,Corwin and Sons,Othello Bowes,Amelina Piscopiello,tablet,49-7167664
uk,"165,631.75",139114.11,2019-09-03,appliances,Johns and Sons,Jessamine Apark,Jay Morefield,pc,07-7047482
sweden,"126,682.79",106514.89,2019-06-11,smartphones,"Murray, Reichel and Nolan",Maxie Marrow,Madelon Bront,pc,57-1931933
sweden,"145,558.00",116257.18,2019-12-20,clothing,Konopelski LLC,Maxie Marrow,Tarrah Castelletti,tablet,15-5167065
spain,"59,163.79",50419.38,2019-03-11,smartphones,McClure Inc,Emalia Dinse,Perri Aldersley,mobile,98-9382686
sweden,"140,352.81",122303.44,2019-12-01,smartphones,Hilll-Vandervort,Maxie Marrow,Caro Morfield,pc,47-5733147
france,"163,401.23",139413.93,2019-04-22,clothing,Wisoky Inc,Othello Bowes,Avrit Chanders,pc,98-2104934
sweden,"177,867.30",140675.25,2020-10-03,smartphones,Walter LLC,Maxie Marrow,Anita Woakes,pc,30-6005742
germany,"58,416.81",46745.13,2019-02-07,clothing,Morissette Group,Rickard Doogood,Casie MacBain,pc,21-7461655
germany,"169,544.95",137568.77,2020-04-12,appliances,"Keeling, Monahan and Pollich",Rickard Doogood,Casie MacBain,mobile,96-7625873
luxembourg,"74,732.79",64098.31,2020-02-24,beauty,McClure Inc,Ilsa Kob,Jocelyn Laurentino,pc,53-2132479
portugal,"55,166.78",47443.43,2020-04-13,books,Gislason-Stanton,Celine Tumasian,Hortense Gerring,pc,70-4650708
france,"99,319.33",79127.71,2020-05-26,games,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,pc,53-3037652
sweden,"118,982.14",95506.96,2020-01-15,clothing,Stehr-Bogan,Maxie Marrow,Caro Morfield,mobile,76-0774122
ireland,"157,007.52",126940.58,2019-08-31,beauty,Friesen-Rath,Glenine Suttaby,Bunnie Tonbridge,pc,72-3928347
france,"49,374.25",39208.09,2019-05-21,books,Stehr LLC,Othello Bowes,Ora Grennan,pc,87-1399932
portugal,"123,891.60",104118.5,2019-07-23,games,Hegmann Group,Celine Tumasian,Smitty Culverhouse,pc,25-1045028
france,"234,340.31",204438.49,2020-12-13,clothing,Hessel-Stiedemann,Othello Bowes,Avrit Chanders,pc,70-0364033
netherlands,"95,575.75",75504.84,2020-12-23,books,Hessel-Stiedemann,Denice Amberg,Nero Harbisher,pc,35-9372764
finland,"125,280.28",99372.32,2019-10-18,beauty,Romaguera-Dietrich,Hube Corey,Wat Bowkley,pc,36-1142710
portugal,"127,482.28",108614.9,2020-08-26,beauty,Hilll-Vandervort,Celine Tumasian,Aurelie Wren,pc,75-6291395
portugal,"120,453.52",97218.04,2019-02-11,beauty,"Schowalter, Lesch and Beahan",Celine Tumasian,Brynn Dempster,pc,00-3338378
portugal,"120,152.33",97527.65,2019-09-29,outdoors,Romaguera-Dietrich,Celine Tumasian,Smitty Culverhouse,pc,55-1904761
portugal,"95,410.97",80593.65,2020-09-22,books,"Murray, Reichel and Nolan",Celine Tumasian,Hortense Gerring,mobile,70-9736399
france,"128,804.51",105709.86,2019-09-13,appliances,Connelly-Mohr,Othello Bowes,Amelina Piscopiello,tablet,20-3125420
italy,"26,899.97",23198.53,2019-03-19,games,Hessel-Stiedemann,Piggy Roscrigg,Joshua Prevost,pc,57-2968987
uk,"123,751.91",102590.33,2019-11-18,smartphones,Johns and Sons,Jessamine Apark,Jay Morefield,pc,76-2146784
sweden,"37,081.31",31304.04,2019-03-11,beauty,McGlynn-Prosacco,Maxie Marrow,Anita Woakes,pc,19-3129154
france,"133,905.55",116886.15,2020-08-01,books,"Keeling, Monahan and Pollich",Othello Bowes,Avrit Chanders,mobile,79-0973971
france,"63,298.61",53645.57,2020-04-10,appliances,"Schowalter, Lesch and Beahan",Othello Bowes,Avrit Chanders,mobile,65-5376517
france,"274,242.36",227950.25,2020-12-09,outdoors,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,mobile,80-5258827
luxembourg,"312,928.72",270401.71,2019-12-12,beauty,Altenwerth-Konopelski,Ilsa Kob,Jocelyn Laurentino,tablet,98-5257166
france,"119,156.18",100710.8,2019-08-20,beauty,Johns and Sons,Othello Bowes,Ora Grennan,pc,19-5610175
france,"162,123.74",133979.06,2020-04-14,beauty,Johns and Sons,Othello Bowes,Maighdiln Upcraft,pc,94-3509391
ireland,"65,831.42",52487.39,2019-01-12,electronics,"Christiansen, Donnelly and Bechtelar",Glenine Suttaby,Palm Wetherald,pc,43-5417299
france,"180,515.09",148852.74,2019-12-26,books,Franecki-White,Othello Bowes,Amelina Piscopiello,pc,68-6141868
uk,"99,114.91",84217.94,2020-04-04,clothing,Johns and Sons,Jessamine Apark,Winny Agnolo,pc,29-8979189
portugal,"171,884.00",146702.99,2019-10-13,games,Johns and Sons,Celine Tumasian,Smitty Culverhouse,pc,58-9821508
denmark,"26,745.94",22600.32,2019-11-10,appliances,Larkin-Collier,Modestia Byfford,Case Desorts,pc,49-1493117
portugal,"77,087.84",65894.69,2020-05-17,other,"Rowe, Hermiston and Kessler",Celine Tumasian,Aurelie Wren,pc,51-5334556
france,"87,404.00",69363.81,2019-12-26,electronics,Johns and Sons,Othello Bowes,Maighdiln Upcraft,pc,79-3154360
france,"47,680.20",40575.85,2019-07-08,clothing,Dibbert Inc,Othello Bowes,Crysta Halls,pc,11-6024248
finland,"27,824.83",23517.55,2019-09-06,games,McClure Inc,Hube Corey,Wat Bowkley,pc,61-4610981
portugal,"106,516.40",86928.03,2019-03-21,clothing,"Hartmann, Hane and Pfannerstill",Celine Tumasian,Smitty Culverhouse,pc,12-4509008
france,"141,948.11",112948.11,2020-04-25,books,Stehr LLC,Othello Bowes,Maighdiln Upcraft,pc,46-5576111
ireland,"226,021.18",180455.31,2019-07-18,accessories,"Schowalter, Lesch and Beahan",Glenine Suttaby,Palm Wetherald,pc,44-6718687
italy,"44,232.84",38880.67,2020-02-20,books,Johns and Sons,Piggy Roscrigg,Joshua Prevost,tablet,67-7432229
ireland,"135,344.52",117492.58,2019-01-17,games,Tillman and Sons,Glenine Suttaby,Palm Wetherald,pc,17-4401585
france,"271,411.92",231514.37,2019-12-09,clothing,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,tablet,56-9241023
portugal,"125,253.59",108269.2,2020-02-17,smartphones,"Murray, Reichel and Nolan",Celine Tumasian,Corene Shirer,pc,90-2194359
sweden,"15,100.57",12113.68,2019-02-20,games,"Murray, Reichel and Nolan",Maxie Marrow,Tarrah Castelletti,pc,89-2424262
france,"157,932.84",134148.15,2020-01-31,games,"Schowalter, Lesch and Beahan",Othello Bowes,Amelina Piscopiello,pc,30-2982340
portugal,"64,192.86",52837.14,2020-04-12,appliances,Johns and Sons,Celine Tumasian,Brynn Dempster,pc,10-4704941
sweden,"156,453.01",128494.86,2020-10-04,clothing,Johns and Sons,Maxie Marrow,Madelon Bront,pc,48-3484986
finland,"53,616.06",45589.74,2020-01-03,appliances,Kihn Inc,Hube Corey,Wat Bowkley,pc,84-4478396
finland,"163,967.89",138208.53,2019-05-30,appliances,Friesen-Rath,Hube Corey,Wat Bowkley,tablet,28-0849652
sweden,"171,748.56",136574.45,2020-11-20,games,Walter LLC,Maxie Marrow,Madelon Bront,pc,74-0214938
france,"26,103.94",22339.75,2020-08-31,appliances,"Fisher, Morar and Skiles",Othello Bowes,Ora Grennan,tablet,89-0187996
portugal,"140,337.34",115708.14,2020-09-04,appliances,Hegmann Group,Celine Tumasian,Corene Shirer,pc,65-8218141
sweden,"33,617.03",26614.6,2020-04-07,appliances,Altenwerth-Konopelski,Maxie Marrow,Madelon Bront,pc,49-8489293
portugal,"187,874.45",160031.46,2019-06-26,accessories,Johns and Sons,Celine Tumasian,Hortense Gerring,pc,91-8142232
finland,"41,675.01",33765.09,2019-06-25,beauty,"Hamill, Kulas and Roob",Hube Corey,Wat Bowkley,pc,75-5380350
portugal,"34,930.08",28017.42,2019-11-01,appliances,Kihn Inc,Celine Tumasian,Smitty Culverhouse,pc,35-4551515
finland,"127,994.87",105800.56,2020-09-01,books,Hegmann Group,Hube Corey,Mellicent Mattys,pc,73-2763209
portugal,"162,637.68",130402.89,2019-09-27,clothing,Larkin-Collier,Celine Tumasian,Corene Shirer,pc,56-0800364
portugal,"40,728.28",35669.83,2019-09-22,beauty,Romaguera-Haley,Celine Tumasian,Hortense Gerring,mobile,42-7027181
finland,"293,767.28",254079.32,2020-06-05,games,West-Cummings,Hube Corey,Wat Bowkley,pc,29-0601002
sweden,"57,913.36",48693.55,2019-09-11,games,"Murray, Reichel and Nolan",Maxie Marrow,Alyosha Meah,pc,90-2797129
uk,"63,979.04",56032.84,2019-10-22,games,Schoen-Keeling,Jessamine Apark,Genevra Charrisson,pc,27-3437546
france,"102,255.86",83379.43,2020-11-12,smartphones,Rath-Schroeder,Othello Bowes,Avrit Chanders,pc,78-3726363
finland,"107,271.94",86665.0,2020-08-23,games,Johns and Sons,Hube Corey,Wat Bowkley,pc,78-8990131
austria,"51,090.76",40739.77,2020-03-12,electronics,Smith Group,Orsa Geekin,Bank Coumbe,pc,85-2223377
sweden,"102,299.92",81706.95,2019-08-22,beauty,"Rowe, Hermiston and Kessler",Maxie Marrow,Alyosha Meah,pc,73-9246627
france,"144,204.86",115262.94,2020-11-08,books,McClure Inc,Othello Bowes,Amelina Piscopiello,pc,56-7910696
france,"36,183.97",30579.07,2020-08-09,books,"Bashirian, Okuneva and Bechtelar",Othello Bowes,Avrit Chanders,mobile,91-4296427
uk,"47,771.76",39234.95,2019-05-29,beauty,Dibbert Inc,Jessamine Apark,Genevra Charrisson,pc,70-8181545
spain,"44,038.31",36252.34,2020-01-24,electronics,Corwin and Sons,Emalia Dinse,Manuel Goudie,pc,94-0775004
sweden,"116,469.33",95190.38,2020-01-31,outdoors,"Hermiston, Simonis and Wisoky",Maxie Marrow,Caro Morfield,pc,89-3466746
